Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.81625,0.81625,13.0,3.0,20.0
Анализ ненависти в тексте,0.8942424242424243,0.8942424242424243,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8485690235690235,0.8485690235690235,113.0,2.0,20.0
Определение темы новостей,0.6224431818181818,0.6224431818181818,73.0,20.0,20.0
Определение темы текста №1,0.9156462585034013,0.9156462585034013,209.0,5.0,20.0
Human vs AI,0.9664331967754725,0.9664331967754725,120.0,2.0,20.0
Определение темы текста №2,0.4693106704438149,0.4693106704438149,429.0,120.0,20.0
Политическая предвзятость текста,0.6349040139616056,0.6349040139616056,488.0,3.0,20.0
