Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.8108712121212122,0.8108712121212122,13.0,3.0,20.0
Анализ ненависти в тексте,0.806060606060606,0.806060606060606,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8614478114478115,0.8614478114478115,113.0,2.0,20.0
Определение темы новостей,0.6690340909090909,0.6690340909090909,73.0,20.0,20.0
Определение темы текста №1,0.9578231292517007,0.9578231292517007,209.0,5.0,20.0
Human vs AI,0.9804413902471257,0.9804413902471257,120.0,2.0,20.0
Определение темы текста №2,0.5231350330500472,0.5231350330500472,429.0,120.0,20.0
Политическая предвзятость текста,0.7891797556719022,0.7891797556719022,488.0,3.0,20.0
