Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.8245833333333333,0.8245833333333333,13.0,3.0,20.0
Анализ ненависти в тексте,0.8596969696969697,0.8596969696969697,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8535353535353535,0.8535353535353535,113.0,2.0,20.0
Определение темы новостей,0.6795454545454546,0.6795454545454546,73.0,20.0,20.0
Определение темы текста №1,0.9428571428571428,0.9428571428571428,209.0,5.0,20.0
Human vs AI,0.9809700013215277,0.9809700013215277,120.0,2.0,20.0
Определение темы текста №2,0.5004721435316336,0.5004721435316336,429.0,120.0,20.0
Политическая предвзятость текста,0.62478184991274,0.62478184991274,488.0,3.0,20.0
