Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.7906818181818182,0.7906818181818182,13.0,3.0,20.0
Анализ ненависти в тексте,0.8772727272727273,0.8772727272727273,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8041245791245791,0.8041245791245791,113.0,2.0,20.0
Определение темы новостей,0.4289772727272727,0.4289772727272727,73.0,20.0,20.0
Определение темы текста №1,0.9061224489795918,0.9061224489795918,209.0,5.0,20.0
Human vs AI,0.9148936170212766,0.9148936170212766,120.0,2.0,20.0
Определение темы текста №2,0.20760825576689598,0.20760825576689598,429.0,120.0,20.0
Политическая предвзятость текста,0.5947643979057592,0.5947643979057592,488.0,3.0,20.0
