Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.8322727272727273,0.8322727272727273,13.0,3.0,20.0
Анализ ненависти в тексте,0.8124242424242424,0.8124242424242424,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8242424242424242,0.8242424242424242,113.0,2.0,20.0
Определение темы новостей,0.6769886363636364,0.6769886363636364,73.0,20.0,20.0
Определение темы текста №1,0.9374149659863945,0.9374149659863945,209.0,5.0,20.0
Human vs AI,0.9808378485529272,0.9808378485529272,120.0,2.0,20.0
Определение темы текста №2,0.5105895049237825,0.5105895049237825,429.0,120.0,20.0
Политическая предвзятость текста,0.6914485165794066,0.6914485165794066,488.0,3.0,20.0
