Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.7906818181818182,0.7906818181818182,13.0,3.0,20.0
Анализ ненависти в тексте,0.8833333333333333,0.8833333333333333,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.5041245791245791,0.5041245791245791,113.0,2.0,20.0
Определение темы новостей,0.24914772727272727,0.24914772727272727,73.0,20.0,20.0
Определение темы текста №1,0.8721088435374149,0.8721088435374149,209.0,5.0,20.0
Human vs AI,0.9158186864014801,0.9158186864014801,120.0,2.0,20.0
Определение темы текста №2,0.0058006205314987186,0.0058006205314987186,429.0,120.0,20.0
Политическая предвзятость текста,0.5912739965095986,0.5912739965095986,488.0,3.0,20.0
