Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.8013257575757575,0.8013257575757575,13.0,3.0,20.0
Анализ ненависти в тексте,0.8742424242424243,0.8742424242424243,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8198653198653199,0.8198653198653199,113.0,2.0,20.0
Определение темы новостей,0.4440340909090909,0.4440340909090909,73.0,20.0,20.0
Определение темы текста №1,0.8802721088435375,0.8802721088435375,209.0,5.0,20.0
Human vs AI,0.9318091714021409,0.9318091714021409,120.0,2.0,20.0
Определение темы текста №2,0.19438823688115472,0.19438823688115472,429.0,120.0,20.0
Политическая предвзятость текста,0.606282722513089,0.606282722513089,488.0,3.0,20.0
