Датасет,Accuracy,F1_score,Сред. длинна текста,Количество классов,Эпох обучения
Анализ настроения текста,0.8334469696969697,0.8334469696969697,13.0,3.0,20.0
Анализ ненависти в тексте,0.8984848484848484,0.8984848484848484,9.0,2.0,20.0
Положительные & Отрицательные отзывы,0.8563131313131314,0.8563131313131314,113.0,2.0,20.0
Определение темы новостей,0.6198863636363636,0.6198863636363636,73.0,20.0,20.0
Определение темы текста №1,0.9319727891156463,0.9319727891156463,209.0,5.0,20.0
Human vs AI,0.9738337518171005,0.9738337518171005,120.0,2.0,20.0
Определение темы текста №2,0.4774045595575341,0.4774045595575341,429.0,120.0,20.0
Политическая предвзятость текста,0.6549738219895288,0.6549738219895288,488.0,3.0,20.0
